entry_time,exit_time,pair,direction,exit_reason,pnl_sgd,outcome
2024-06-14 02:30:00+00:00,2024-06-14 04:30:00+00:00,USD_CHF,1,tp,5243.762136821292,win
2024-06-26 06:00:00+00:00,2024-06-26 07:00:00+00:00,AUD_USD,-1,tp,4232.06167991809,win
2024-06-28 07:00:00+00:00,2024-06-28 09:00:00+00:00,USD_CAD,-1,tp,4846.457899602233,win
2024-07-01 00:00:00+00:00,2024-07-01 03:30:00+00:00,NZD_USD,-1,time,-1557.5801000001923,loss
2024-07-02 00:30:00+00:00,2024-07-02 02:30:00+00:00,NZD_USD,1,sl,-2908.0439999993214,loss
2024-07-12 01:00:00+00:00,2024-07-12 04:30:00+00:00,EUR_USD,-1,time,-505.97470000229345,loss
2024-07-12 01:00:00+00:00,2024-07-12 04:30:00+00:00,USD_CAD,-1,time,8581.973400000847,win
2024-07-17 00:00:00+00:00,2024-07-17 03:30:00+00:00,GBP_USD,1,tp,4245.929934796819,win
2024-07-17 00:30:00+00:00,2024-07-17 01:30:00+00:00,NZD_USD,-1,sl,-5924.5560000013575,loss
2024-07-18 01:30:00+00:00,2024-07-18 05:00:00+00:00,GBP_USD,-1,time,-1999.322000000292,loss
2024-07-18 02:00:00+00:00,2024-07-18 03:00:00+00:00,NZD_USD,-1,sl,-6422.8164000045945,loss
2024-07-25 01:00:00+00:00,2024-07-25 04:30:00+00:00,USD_CAD,1,time,1556.1183999997481,win
2024-07-31 05:00:00+00:00,2024-07-31 06:00:00+00:00,AUD_USD,1,tp,3812.207091414661,win
2024-07-31 05:30:00+00:00,2024-07-31 07:30:00+00:00,USD_CHF,1,sl,-5102.846999998808,loss
2024-08-02 07:00:00+00:00,2024-08-02 08:00:00+00:00,GBP_USD,1,tp,4355.913022316845,win
2024-08-06 09:30:00+00:00,2024-08-06 10:30:00+00:00,GBP_USD,1,sl,-4248.720000000755,loss
2024-08-29 01:00:00+00:00,2024-08-29 03:00:00+00:00,NZD_USD,-1,sl,-1778.4575999993103,loss
2024-09-06 07:30:00+00:00,2024-09-06 11:00:00+00:00,NZD_USD,-1,time,6904.295000000666,win
2024-09-11 02:00:00+00:00,2024-09-11 04:30:00+00:00,EUR_USD,-1,sl,-4075.7490000025678,loss
2024-09-11 07:00:00+00:00,2024-09-11 10:30:00+00:00,EUR_USD,-1,time,814.4496000023214,win
2024-09-19 02:00:00+00:00,2024-09-19 03:00:00+00:00,EUR_USD,1,tp,1993.596819858912,win
2024-10-11 07:30:00+00:00,2024-10-11 10:30:00+00:00,GBP_USD,-1,tp,4419.308575080304,win
2024-10-23 00:30:00+00:00,2024-10-23 02:30:00+00:00,EUR_USD,-1,sl,-3890.359200000805,loss
2024-10-23 03:30:00+00:00,2024-10-23 06:00:00+00:00,EUR_USD,-1,tp,3997.890642425366,win
2024-10-23 07:00:00+00:00,2024-10-23 10:30:00+00:00,EUR_USD,1,sl,-3602.7540000022695,loss
2024-10-29 01:30:00+00:00,2024-10-29 03:00:00+00:00,NZD_USD,1,sl,-6521.080799998168,loss
2024-11-01 00:00:00+00:00,2024-11-01 01:00:00+00:00,NZD_USD,1,tp,2934.083011222249,win
2024-11-04 00:30:00+00:00,2024-11-04 02:00:00+00:00,NZD_USD,-1,sl,-3026.3711999988263,loss
2024-11-06 00:00:00+00:00,2024-11-06 01:00:00+00:00,USD_CAD,1,tp,2073.4651590868116,win
2024-11-06 01:00:00+00:00,2024-11-06 02:00:00+00:00,USD_CHF,1,tp,4500.102545982624,win
2024-11-06 02:00:00+00:00,2024-11-06 03:00:00+00:00,USD_CHF,1,tp,1117.13806907161,win
2024-11-06 04:00:00+00:00,2024-11-06 05:00:00+00:00,USD_CAD,-1,tp,3510.9581013951215,win
2024-11-06 07:30:00+00:00,2024-11-06 08:30:00+00:00,USD_CHF,1,sl,-1330.3529999996895,loss
2024-11-06 08:30:00+00:00,2024-11-06 10:30:00+00:00,USD_CHF,1,tp,14859.884914614042,win
2024-11-07 00:00:00+00:00,2024-11-07 02:00:00+00:00,USD_CHF,1,sl,-2752.9439999989327,loss
2024-11-07 02:00:00+00:00,2024-11-07 03:00:00+00:00,USD_CAD,-1,tp,2656.1350258206585,win
2024-11-07 02:00:00+00:00,2024-11-07 05:30:00+00:00,USD_CHF,1,sl,-3233.8992000006697,loss
2024-11-07 02:00:00+00:00,2024-11-07 03:30:00+00:00,USD_JPY,1,sl,-3852.000000002883,loss
2024-11-07 03:00:00+00:00,2024-11-07 06:00:00+00:00,USD_CAD,-1,tp,6394.772532659982,win
2024-11-19 10:00:00+00:00,2024-11-19 11:30:00+00:00,USD_CHF,-1,sl,-2984.864400000618,loss
2024-11-19 10:00:00+00:00,2024-11-19 11:00:00+00:00,USD_JPY,-1,sl,-2907.359999999345,loss
2024-11-19 11:00:00+00:00,2024-11-19 13:30:00+00:00,USD_CAD,-1,tp,4295.1236193284885,win
2024-11-19 11:00:00+00:00,2024-11-19 12:00:00+00:00,USD_JPY,1,tp,11274.31696783052,win
2024-11-28 00:00:00+00:00,2024-11-28 03:30:00+00:00,NZD_USD,-1,tp,5037.373254933026,win
2024-11-29 01:30:00+00:00,2024-11-29 03:30:00+00:00,NZD_USD,1,tp,6230.737800213914,win
2024-11-29 03:30:00+00:00,2024-11-29 06:30:00+00:00,NZD_USD,-1,sl,-2681.6579999993737,loss
2024-11-29 07:30:00+00:00,2024-11-29 08:30:00+00:00,NZD_USD,-1,tp,3044.2479001122238,win
2024-12-10 01:00:00+00:00,2024-12-10 04:30:00+00:00,GBP_USD,-1,time,-2746.0230000005686,loss
2024-12-11 07:30:00+00:00,2024-12-11 08:30:00+00:00,EUR_USD,1,tp,3225.956996696818,win
2024-12-12 02:00:00+00:00,2024-12-12 03:00:00+00:00,AUD_USD,-1,sl,-6552.361199995294,loss
2024-12-12 11:00:00+00:00,2024-12-12 12:00:00+00:00,USD_CHF,-1,sl,-3075.769200000637,loss
2024-12-20 08:00:00+00:00,2024-12-20 09:00:00+00:00,EUR_USD,-1,tp,3031.116847176022,win
2025-01-13 01:30:00+00:00,2025-01-13 02:30:00+00:00,GBP_USD,1,sl,-3567.600000002908,loss
2025-01-13 01:30:00+00:00,2025-01-13 03:00:00+00:00,USD_CAD,1,tp,5485.553234188684,win
2025-01-13 02:30:00+00:00,2025-01-13 03:30:00+00:00,GBP_USD,1,sl,-3377.9052000006,loss
2025-01-13 03:30:00+00:00,2025-01-13 05:00:00+00:00,GBP_USD,1,sl,-2948.335200000524,loss
2025-01-14 00:30:00+00:00,2025-01-14 04:00:00+00:00,USD_CAD,1,time,-3825.0740000003516,loss
2025-01-24 06:30:00+00:00,2025-01-24 07:30:00+00:00,NZD_USD,-1,tp,5130.821517304104,win
2025-02-20 01:30:00+00:00,2025-02-20 02:30:00+00:00,AUD_USD,1,tp,1812.6372052765319,win
2025-02-21 02:30:00+00:00,2025-02-21 05:00:00+00:00,GBP_USD,-1,tp,5374.265235540022,win
2025-02-24 01:30:00+00:00,2025-02-24 02:30:00+00:00,AUD_USD,1,tp,6175.520394150027,win
2025-02-24 02:00:00+00:00,2025-02-24 05:30:00+00:00,EUR_USD,-1,time,2756.623999998008,win
2025-02-24 02:00:00+00:00,2025-02-24 03:30:00+00:00,USD_JPY,1,sl,-4381.7741512218245,loss
2025-02-24 03:00:00+00:00,2025-02-24 04:00:00+00:00,NZD_USD,-1,tp,6413.994559839719,win
2025-02-28 01:30:00+00:00,2025-02-28 05:00:00+00:00,EUR_USD,1,time,1716.548400000944,win
2025-02-28 06:30:00+00:00,2025-02-28 07:30:00+00:00,USD_CHF,1,tp,5893.743493101598,win
2025-03-04 08:00:00+00:00,2025-03-04 10:00:00+00:00,EUR_USD,-1,tp,1650.1182529852867,win
2025-03-06 10:30:00+00:00,2025-03-06 11:30:00+00:00,USD_CHF,-1,tp,3056.494379614471,win
2025-03-10 11:30:00+00:00,2025-03-10 12:30:00+00:00,USD_CAD,1,tp,5798.79186987714,win
2025-04-02 03:00:00+00:00,2025-04-02 05:30:00+00:00,AUD_USD,-1,tp,6997.14738813869,win
2025-04-04 06:00:00+00:00,2025-04-04 07:00:00+00:00,AUD_USD,-1,tp,5029.568770131046,win
2025-04-08 07:00:00+00:00,2025-04-08 08:00:00+00:00,NZD_USD,-1,tp,8519.824461859482,win
2025-04-08 07:30:00+00:00,2025-04-08 08:30:00+00:00,EUR_USD,1,tp,2114.4434596233846,win
2025-04-10 10:00:00+00:00,2025-04-10 11:30:00+00:00,USD_CAD,-1,sl,-5451.5541856464,loss
